MODULE;NIVEAU;;;;QUESTIONS;;;REPONSES;;;;;;;;;;;;;;;;;;;;;;;
Nom du module; A quel niveau appartient cette question ?;Nom du niveau;Message d'entrée;Message de sortie;Question;Niveau de difficulté;Type de jeu;Bonne réponse;Check réponse;Reponse 1;Reponse 2;Reponse 3;Reponse 4;Reponse 5;Reponse 6;Reponse 7;Reponse 8;;;;;;;;;;;;;;
Tech au Sénégal;1;Ecosysteme;Un entrepreneur se doit de connaitre l'écosysteme dans lequel il évolue. Ce niveau vous permettra d'identifier les différents acteurs qui le composent.;Vous avez identifié de potentiels partenaires, concurrents, prenez le temps de mieux les connaître ! Vous pouvez par exemple les suivre sur les réseaux sociaux ou les contacter pour identifier des synergies.;Qu'est ce que le BMN du Sénégal ?;Difficile;Quizz;1;OK;le bureau de mise à niveau des entreprises;le bureau des mines et du numerique;le bureau de mutualisation nationale;Le bureau des militants du numerique;;;;;;;;;;;;;;;;;;
Tech au Sénégal;1;Ecosysteme;Un entrepreneur se doit de connaitre l'écosysteme dans lequel il évolue. Ce niveau vous permettra d'identifier les différents acteurs qui le composent.;Vous avez identifié de potentiels partenaires, concurrents, prenez le temps de mieux les connaître ! Vous pouvez par exemple les suivre sur les réseaux sociaux ou les contacter pour identifier des synergies.;De qui dépendent les Espaces Numériques Ouverts (ENO) ?;Moyen;Quizz;3;OK;Ministère de l'Economie;Chambre de Commerce et d'Industrie;Universite Virtuelle du Sénégal;Agence de Développement Informatique de l'Etat;;;;;;;;;;;;;;;;;;
Tech au Sénégal;1;Ecosysteme;Un entrepreneur se doit de connaitre l'écosysteme dans lequel il évolue. Ce niveau vous permettra d'identifier les différents acteurs qui le composent.;Vous avez identifié de potentiels partenaires, concurrents, prenez le temps de mieux les connaître ! Vous pouvez par exemple les suivre sur les réseaux sociaux ou les contacter pour identifier des synergies.;Environ combien d'incubateurs peut on trouver au Sénégal?;Moyen;Quizz;4;OK;150;100;50;30;;;;;;;;;;;;;;;;;;
Tech au Sénégal;1;Ecosysteme;Un entrepreneur se doit de connaitre l'écosysteme dans lequel il évolue. Ce niveau vous permettra d'identifier les différents acteurs qui le composent.;Vous avez identifié de potentiels partenaires, concurrents, prenez le temps de mieux les connaître ! Vous pouvez par exemple les suivre sur les réseaux sociaux ou les contacter pour identifier des synergies.;Quel secteur du numérique a le vent en poupe au Sénégal comme en Afrique? ;Facile;Quizz;2;OK;La  e-mobilité;La Fintech;Le e-tourisme;La civic tech;;;;;;;;;;;;;;;;;;
Tech au Sénégal;2;Economie du numérique; La situtation économique vous donne un éclairage sur les forces et les faiblesses de l'environnement dans lequel vous construisez votre projet.;Quel bilan faites-vous de ces infos ? Votre projet répond-t-il bien à des besoins, des problématiques locales? La situation économique permet-elle de répondre aux attentes de votre entreprise ?;Combien pèse le numérique dans le PIB du Sénégal ?;Difficile;Quizz;1;OK;8%;2%;18%;25%;;;;;;;;;;;;;;;;;;
Tech au Sénégal;2;Economie du numérique; La situtation économique vous donne un éclairage sur les forces et les faiblesses de l'environnement dans lequel vous construisez votre projet.;Quel bilan faites-vous de ces infos ? Votre projet répond-t-il bien à des besoins, des problématiques locales? La situation économique permet-elle de répondre aux attentes de votre entreprise ?;En pourcentage, quel est le taux de couverture en haut débit mobile du Sénégal?;Facile;Quizz;4;OK;40%;50%;70%;90%;;;;;;;;;;;;;;;;;;
Tech au Sénégal;2;Economie du numérique; La situtation économique vous donne un éclairage sur les forces et les faiblesses de l'environnement dans lequel vous construisez votre projet.;Quel bilan faites-vous de ces infos ? Votre projet répond-t-il bien à des besoins, des problématiques locales? La situation économique permet-elle de répondre aux attentes de votre entreprise ?;Au Sénégal, quel est le pourcentage d'emplois générés par  l'économie informelle? ;Moyen;Quizz;1;OK;96%;86%;66%;46%;;;;;;;;;;;;;;;;;;
Tech au Sénégal;2;Economie du numérique; La situtation économique vous donne un éclairage sur les forces et les faiblesses de l'environnement dans lequel vous construisez votre projet.;Quel bilan faites-vous de ces infos ? Votre projet répond-t-il bien à des besoins, des problématiques locales? La situation économique permet-elle de répondre aux attentes de votre entreprise ?;Quel est l'âge de la majorité de la population Sénégalaise? ;Facile;Quizz;3;OK;moins de 40  ans ;moins de 30 ans ;moins de 20 ans ;moins de 15 ans;;;;;;;;;;;;;;;;;;
Tech au Sénégal;2;Economie du numérique; La situtation économique vous donne un éclairage sur les forces et les faiblesses de l'environnement dans lequel vous construisez votre projet.;Quel bilan faites-vous de ces infos ? Votre projet répond-t-il bien à des besoins, des problématiques locales? La situation économique permet-elle de répondre aux attentes de votre entreprise ?;Que représente le taux de pénétration du mobile au Sénégal?;Facile;Quizz;4;OK;60%;70%;80%;110%;;;;;;;;;;;;;;;;;;
Tech au Sénégal;2;Economie du numérique; La situtation économique vous donne un éclairage sur les forces et les faiblesses de l'environnement dans lequel vous construisez votre projet.;Quel bilan faites-vous de ces infos ? Votre projet répond-t-il bien à des besoins, des problématiques locales? La situation économique permet-elle de répondre aux attentes de votre entreprise ?;Qu'est ce que le TeleDAc ?;Moyen;Quizz;2;OK;La première chaîne de télévision numérique du Sénégal;La plateforme dématérialisée de services de l'etat;Le réseau d'atualités du numérique de la Teranga;Une série mélangeant culture et digital;;;;;;;;;;;;;;;;;;
Tech au Sénégal;2;Economie du numérique; La situtation économique vous donne un éclairage sur les forces et les faiblesses de l'environnement dans lequel vous construisez votre projet.;Quel bilan faites-vous de ces infos ? Votre projet répond-t-il bien à des besoins, des problématiques locales? La situation économique permet-elle de répondre aux attentes de votre entreprise ?;Selon le Plan Sénégal Emergent, combien d'emplois seront créés via le numérique d'ici 2025?;Moyen;Quizz;1;OK;35 000;150 000;500 000;2 500;;;;;;;;;;;;;;;;;;
Tech au Sénégal;2;Economie du numérique; La situtation économique vous donne un éclairage sur les forces et les faiblesses de l'environnement dans lequel vous construisez votre projet.;Quel bilan faites-vous de ces infos ? Votre projet répond-t-il bien à des besoins, des problématiques locales? La situation économique permet-elle de répondre aux attentes de votre entreprise ?;En 2019, sur 300 000 nouveaux demandeurs d’emploi  combien ont pu decrocher un contrat ?;Difficile;Quizz;1;OK;65 000 dont 80% à Dakar;100 000 dont 50% à Dakar;250 000 dont 40% à Dakar;55 000 dont 90% à Dakar;;;;;;;;;;;;;;;;;;
Tech au Sénégal;2;Economie du numérique; La situtation économique vous donne un éclairage sur les forces et les faiblesses de l'environnement dans lequel vous construisez votre projet.;Quel bilan faites-vous de ces infos ? Votre projet répond-t-il bien à des besoins, des problématiques locales? La situation économique permet-elle de répondre aux attentes de votre entreprise ?;Quel grand projet lié au numerique est en construction à  (ville nouvelle du Sénégal);Moyen;Quizz;2;OK;La Akon city du Rapper Akon;Un parc technologique numerique ;Une base de lancement de satelites de telecommunications;une usine de production d'ordinateurs quantiques;;;;;;;;;;;;;;;;;;
Tech au Sénégal;2;Economie du numérique; La situtation économique vous donne un éclairage sur les forces et les faiblesses de l'environnement dans lequel vous construisez votre projet.;Quel bilan faites-vous de ces infos ? Votre projet répond-t-il bien à des besoins, des problématiques locales? La situation économique permet-elle de répondre aux attentes de votre entreprise ?;Qui est le Ministre de l'economie Numerique au Sénégal?;Difficile;Quizz;1;OK;Madame Ndeye Tacko Ndiaye Diop;Monsieur Amadou Hott;Monsieur Babacar Birane;Madame Eva Sow Ebion;;;;;;;;;;;;;;;;;;
Tech au Sénégal;2;Economie du numérique; La situtation économique vous donne un éclairage sur les forces et les faiblesses de l'environnement dans lequel vous construisez votre projet.;Quel bilan faites-vous de ces infos ? Votre projet répond-t-il bien à des besoins, des problématiques locales? La situation économique permet-elle de répondre aux attentes de votre entreprise ?;Sur les 17 millions de Sénégalais, quel pourcentage a accès à Internet?;Facile;Quizz;4;OK;2%;15%;97%;65%;;;;;;;;;;;;;;;;;;
Tech au Sénégal;2;Economie du numérique; La situtation économique vous donne un éclairage sur les forces et les faiblesses de l'environnement dans lequel vous construisez votre projet.;Quel bilan faites-vous de ces infos ? Votre projet répond-t-il bien à des besoins, des problématiques locales? La situation économique permet-elle de répondre aux attentes de votre entreprise ?;Que permet notamment le Startup Act Senegal?;Moyen;Quizz;2;OK;Des rencontres entre startups ;Un allègement fiscal pour les startups;Un financement pour toutes les startups;Intégrer directement le club de l'Internet Society;;;;;;;;;;;;;;;;;;
Tech au Sénégal;2;Economie du numérique; La situtation économique vous donne un éclairage sur les forces et les faiblesses de l'environnement dans lequel vous construisez votre projet.;Quel bilan faites-vous de ces infos ? Votre projet répond-t-il bien à des besoins, des problématiques locales? La situation économique permet-elle de répondre aux attentes de votre entreprise ?;Dans le domaine de la recherche, le Sénégal dispose d'un tout nouvel outil, quel est il?;Moyen;Quizz;3;OK;Un centre de recherche en robotique;Le plus important satellite panafricain;Un supercalculateur;Une IA reliée à tous les réseaux santé;;;;;;;;;;;;;;;;;;
Tech au Sénégal;2;Economie du numérique; La situtation économique vous donne un éclairage sur les forces et les faiblesses de l'environnement dans lequel vous construisez votre projet.;Quel bilan faites-vous de ces infos ? Votre projet répond-t-il bien à des besoins, des problématiques locales? La situation économique permet-elle de répondre aux attentes de votre entreprise ?;Quelle est la part du PIB émanant de la Diaspora ?;Difficile;Quizz;1;OK;12%;5%;35%;3%;;;;;;;;;;;;;;;;;;
Tech au Sénégal;2;Economie du numérique; La situtation économique vous donne un éclairage sur les forces et les faiblesses de l'environnement dans lequel vous construisez votre projet.;Quel bilan faites-vous de ces infos ? Votre projet répond-t-il bien à des besoins, des problématiques locales? La situation économique permet-elle de répondre aux attentes de votre entreprise ?;Quelle est l'economie la plus importante du Sénégal?;Facile;Quizz;2;OK;L'education;L'agriculture;Les Telecommunications;Les services;;;;;;;;;;;;;;;;;;

