MODULE;NIVEAU;;;;QUESTIONS;;;REPONSES;;;;;;;;;;;;;;;;;;;;;;;
Nom du module; A quel niveau appartient cette question ?;Nom du niveau;Message d'entr‚e;Message de sortie;Question;Niveau de difficult‚;Type de jeu;Bonne r‚ponse;Check r‚ponse;Reponse 1;Reponse 2;Reponse 3;Reponse 4;Reponse 5;Reponse 6;Reponse 7;Reponse 8;;;;;;;;;;;;;;
COMMUNICATION;3;Les diff‚rentes fa‡ons de communiquer;Tout comme l'ˆtre humain, l'entreprise peut communiquer de diff‚rentes fa‡ons pour toucher son audience.;En ouvrant de nouveaux canaux de communication, vous avez ‚largi votre base de clientŠle, ce sont donc de nouvelles commandes qui viennent encore faire grandir votre chiffre d'affaire !;Quels sont les objectifs de la communication ?;Moyen;Quizz;4;OK;Toucher une cible (r‚cepteur);Faire passer le r‚cepteur … l'action (exemple : achat);Faire le buzz;Toutes les r‚ponses;;;;;;;;;;;;;;;;;;
COMMUNICATION;3;Les diff‚rentes fa‡ons de communiquer;Tout comme l'ˆtre humain, l'entreprise peut communiquer de diff‚rentes fa‡ons pour toucher son audience.;En ouvrant de nouveaux canaux de communication, vous avez ‚largi votre base de clientŠle, ce sont donc de nouvelles commandes qui viennent encore faire grandir votre chiffre d'affaire !;recepteur.jpg;Moyen;1 image 4 mots;2;OK;Bonhomme;R‚cepteur;Conversation;Enfants;;;;;;;;;;;;;;;;;;
COMMUNICATION;3;Les diff‚rentes fa‡ons de communiquer;Tout comme l'ˆtre humain, l'entreprise peut communiquer de diff‚rentes fa‡ons pour toucher son audience.;En ouvrant de nouveaux canaux de communication, vous avez ‚largi votre base de clientŠle, ce sont donc de nouvelles commandes qui viennent encore faire grandir votre chiffre d'affaire !;‚metteur.jpg;Moyen;1 image 4 mots;2;OK;Discussion;metteur;Dialogue;Personnages;;;;;;;;;;;;;;;;;;
COMMUNICATION;3;Les diff‚rentes fa‡ons de communiquer;Tout comme l'ˆtre humain, l'entreprise peut communiquer de diff‚rentes fa‡ons pour toucher son audience.;En ouvrant de nouveaux canaux de communication, vous avez ‚largi votre base de clientŠle, ce sont donc de nouvelles commandes qui viennent encore faire grandir votre chiffre d'affaire !;canauxdecommunication.jpg;Facile;1 image 4 mots;2;OK;R‚union;Canaux de communication;R‚seautage;Plateforme;;;;;;;;;;;;;;;;;;
COMMUNICATION;3;Les diff‚rentes fa‡ons de communiquer;Tout comme l'ˆtre humain, l'entreprise peut communiquer de diff‚rentes fa‡ons pour toucher son audience.;En ouvrant de nouveaux canaux de communication, vous avez ‚largi votre base de clientŠle, ce sont donc de nouvelles commandes qui viennent encore faire grandir votre chiffre d'affaire !;omnicanal.jpg;Moyen;1 image 4 mots;1;OK;Omnicanal;Plateforme;R‚seau;Clic;;;;;;;;;;;;;;;;;;
COMMUNICATION;3;Les diff‚rentes fa‡ons de communiquer;Tout comme l'ˆtre humain, l'entreprise peut communiquer de diff‚rentes fa‡ons pour toucher son audience.;En ouvrant de nouveaux canaux de communication, vous avez ‚largi votre base de clientŠle, ce sont donc de nouvelles commandes qui viennent encore faire grandir votre chiffre d'affaire !;Canal de communication;Moyen;Nuage de mots;1,2,3,4,5;OK;T‚l‚vision;Radio;R‚seaux sociaux;WhatsApp;Bouche … oreille;Journaliste;Banque;Cl‚ USB;;;;;;;;;;;;;;
COMMUNICATION;4;Les r‚sultats d'une bonne strat‚gie de communication;Vos actions de communication doivent s'orchestrer autour d'un mˆme message pour cr‚er de la compr‚hension de la part des nouveaux clients et de la confiance chez vos clients existants !;Votre marque est d‚sormais une r‚f‚rence dans votre secteur, vous avez su g‚rer une telle confiance chez vos client qu'ils commandent de plus en plus chez vous, bien jou‚ !;Quel est l'‚l‚ment visuel qui est au c?ur de la strat‚gie de communication;Moyen;Quizz;1;OK;Le logo;Le slogan;Le portrait du CEO;Une photo des locaux;;;;;;;;;;;;;;;;;;
COMMUNICATION;4;Les r‚sultats d'une bonne strat‚gie de communication;Vos actions de communication doivent s'orchestrer autour d'un mˆme message pour cr‚er de la compr‚hension de la part des nouveaux clients et de la confiance chez vos clients existants !;Votre marque est d‚sormais une r‚f‚rence dans votre secteur, vous avez su g‚rer une telle confiance chez vos client qu'ils commandent de plus en plus chez vous, bien jou‚ !;Quel indicateur neÿ permet pas de suivre l'impact direct de son effort de communication ? ;Moyen;Quizz;4;OK;Vues et likes sur Facebook;Taux d'ouverture d'une newsletter;Evolution du chiffre d'affaire;Nombre d'employ‚s;;;;;;;;;;;;;;;;;;
COMMUNICATION;4;Les r‚sultats d'une bonne strat‚gie de communication;Vos actions de communication doivent s'orchestrer autour d'un mˆme message pour cr‚er de la compr‚hension de la part des nouveaux clients et de la confiance chez vos clients existants !;Votre marque est d‚sormais une r‚f‚rence dans votre secteur, vous avez su g‚rer une telle confiance chez vos client qu'ils commandent de plus en plus chez vous, bien jou‚ !;Pourquoi dit-on d'une marque qu'elle est forte ?;Moyen;Quizz;1;OK;Elle est cit‚e rapidement comme r‚f‚rence;Elle inspire confiance;Elle a un joli logo;Son CEO est extrˆmement beauÿ;;;;;;;;;;;;;;;;;;
COMMUNICATION;4;Les r‚sultats d'une bonne strat‚gie de communication;Vos actions de communication doivent s'orchestrer autour d'un mˆme message pour cr‚er de la compr‚hension de la part des nouveaux clients et de la confiance chez vos clients existants !;Votre marque est d‚sormais une r‚f‚rence dans votre secteur, vous avez su g‚rer une telle confiance chez vos client qu'ils commandent de plus en plus chez vous, bien jou‚ !;Sur quel ‚l‚ment de communication s'appuient … la fois les supermarch‚s et les candidats … la pr‚sidentielle ?;Difficile;Quizz;2;OK;Une cible trŠs large;Des campagnes de communication;Des promotions;Le portrait de leur pr‚sident;;;;;;;;;;;;;;;;;;
COMMUNICATION;4;Les r‚sultats d'une bonne strat‚gie de communication;Vos actions de communication doivent s'orchestrer autour d'un mˆme message pour cr‚er de la compr‚hension de la part des nouveaux clients et de la confiance chez vos clients existants !;Votre marque est d‚sormais une r‚f‚rence dans votre secteur, vous avez su g‚rer une telle confiance chez vos client qu'ils commandent de plus en plus chez vous, bien jou‚ !;strategiedecommunication.jpg;Moyen;1 image 4 mots;2;OK;R‚union;Strat‚gie de communication;Collaboration;Collaboration;;;;;;;;;;;;;;;;;;
COMMUNICATION;4;Les r‚sultats d'une bonne strat‚gie de communication;Vos actions de communication doivent s'orchestrer autour d'un mˆme message pour cr‚er de la compr‚hension de la part des nouveaux clients et de la confiance chez vos clients existants !;Votre marque est d‚sormais une r‚f‚rence dans votre secteur, vous avez su g‚rer une telle confiance chez vos client qu'ils commandent de plus en plus chez vous, bien jou‚ !;marque.jpg;Facile;1 image 4 mots;2;OK;Magasins;Marques;Produits;Objets;;;;;;;;;;;;;;;;;;
COMMUNICATION;4;Les r‚sultats d'une bonne strat‚gie de communication;Vos actions de communication doivent s'orchestrer autour d'un mˆme message pour cr‚er de la compr‚hension de la part des nouveaux clients et de la confiance chez vos clients existants !;Votre marque est d‚sormais une r‚f‚rence dans votre secteur, vous avez su g‚rer une telle confiance chez vos client qu'ils commandent de plus en plus chez vous, bien jou‚ !;e-Performance;Difficile;Nuage de mots;1,2,3,4,5;OK;Nombre de vues;Nombre de likes;Nombre de clics;Nombre de followers;Chiffre d'affaire;Nombre d'articles;Longueur des pages;Partenariats;;;;;;;;;;;;;;
COMMUNICATION;5;Ce que change le digital dans la communication;Les multiples outils num‚riques sur lesquels nous passons notre temps sont de nouveaux terrains de jeu pour la communication des entreprises, les connaissez-vous bien ?;C'est en vous appuyant sur le digital que vous avez r‚ussi … piloter votre activit‚ et optimiser le parcours de vos clients, c'est tellement simple qu'ils achŠtent en quelques clics !;Les r‚seaux sociaux permettent de dialoguer avec les clients grƒce aux ?;Moyen;Quizz;1;OK;Communaut‚s;Vid‚os;Publicit‚s cibl‚es;Revenus additionnels;;;;;;;;;;;;;;;;;;
COMMUNICATION;5;Ce que change le digital dans la communication;Les multiples outils num‚riques sur lesquels nous passons notre temps sont de nouveaux terrains de jeu pour la communication des entreprises, les connaissez-vous bien ?;C'est en vous appuyant sur le digital que vous avez r‚ussi … piloter votre activit‚ et optimiser le parcours de vos clients, c'est tellement simple qu'ils achŠtent en quelques clics !;Les contenus les plus efficaces au 21Šme siŠcle sont les ?;Facile;Quizz;1;OK;Vid‚os;Musiques;Textes;Photos;;;;;;;;;;;;;;;;;;
COMMUNICATION;5;Ce que change le digital dans la communication;Les multiples outils num‚riques sur lesquels nous passons notre temps sont de nouveaux terrains de jeu pour la communication des entreprises, les connaissez-vous bien ?;C'est en vous appuyant sur le digital que vous avez r‚ussi … piloter votre activit‚ et optimiser le parcours de vos clients, c'est tellement simple qu'ils achŠtent en quelques clics !;Pour mesurer l?impact d?une communication digitale, on peut utiliser ?;Facile;Quizz;1;OK;Les donn‚es g‚n‚r‚es par les internautes;Les emojis;Adobe Photoshop;La reconnaissance faciale;;;;;;;;;;;;;;;;;;
COMMUNICATION;5;Ce que change le digital dans la communication;Les multiples outils num‚riques sur lesquels nous passons notre temps sont de nouveaux terrains de jeu pour la communication des entreprises, les connaissez-vous bien ?;C'est en vous appuyant sur le digital que vous avez r‚ussi … piloter votre activit‚ et optimiser le parcours de vos clients, c'est tellement simple qu'ils achŠtent en quelques clics !;Quels outils permettent de cibler efficacement les internautes en fonction de leur comportement ?;Moyen;Quizz;1;OK;Facebook Ads, Google Adwords, etc;Adobe Photoshop, Illustrator;WhatsApp, Messenger;Microsoft Powerpoint, Word, Excel;;;;;;;;;;;;;;;;;;
COMMUNICATION;5;Ce que change le digital dans la communication;Les multiples outils num‚riques sur lesquels nous passons notre temps sont de nouveaux terrains de jeu pour la communication des entreprises, les connaissez-vous bien ?;C'est en vous appuyant sur le digital que vous avez r‚ussi … piloter votre activit‚ et optimiser le parcours de vos clients, c'est tellement simple qu'ils achŠtent en quelques clics !;intelligenceartificielle.jpg;Moyen;1 image 4 mots;2;OK;Big Data;Intelligence Artificielle;Robotique;Electronique;;;;;;;;;;;;;;;;;;
COMMUNICATION;5;Ce que change le digital dans la communication;Les multiples outils num‚riques sur lesquels nous passons notre temps sont de nouveaux terrains de jeu pour la communication des entreprises, les connaissez-vous bien ?;C'est en vous appuyant sur le digital que vous avez r‚ussi … piloter votre activit‚ et optimiser le parcours de vos clients, c'est tellement simple qu'ils achŠtent en quelques clics !;innover.jpg;Facile;1 image 4 mots;3;OK;Grimper;Escalader;Innover;Id‚ation;;;;;;;;;;;;;;;;;;
COMMUNICATION;5;Ce que change le digital dans la communication;Les multiples outils num‚riques sur lesquels nous passons notre temps sont de nouveaux terrains de jeu pour la communication des entreprises, les connaissez-vous bien ?;C'est en vous appuyant sur le digital que vous avez r‚ussi … piloter votre activit‚ et optimiser le parcours de vos clients, c'est tellement simple qu'ils achŠtent en quelques clics !;Communication digitale;Moyen;Nuage de mots;1,2,3,4,5;OK;Community manager;Post;Email;Contenus;Donn‚es;Gestion du stress;Impression;R‚union;;;;;;;;;;;;;;
COMMUNICATION;6;La communication pour un entrepreneur;Pour un entrepreneur la communication est un pilier de la croissance car elle permet de gagner des clients mais ‚galement de recevoir des commentaires pr‚cieux pour am‚liorer le produit.;Lorsque vous prenez la parole, on voit que votre startup est inspirante mais ‚galement connect‚e au besoin des clients, vos efforts de communication vous rendent rudement comp‚titifs vis-…-vis de la concurrence !;Quel(s) effort(s) de communication un entrepreneur doit prioriser ?;Moyen;Quizz;4;OK;Faire connaŒtre sa marque;Expliquer comment son projet fonctionne;Prouver que le projet va g‚n‚rer beaucoup d'argent;Cela d‚pend de la cible vis‚e;;;;;;;;;;;;;;;;;;
COMMUNICATION;6;La communication pour un entrepreneur;Pour un entrepreneur la communication est un pilier de la croissance car elle permet de gagner des clients mais ‚galement de recevoir des commentaires pr‚cieux pour am‚liorer le produit.;Lorsque vous prenez la parole, on voit que votre startup est inspirante mais ‚galement connect‚e au besoin des clients, vos efforts de communication vous rendent rudement comp‚titifs vis-…-vis de la concurrence !;Organiser des ‚v‚nement permet … un entrepreneur de ?;Facile;Quizz;1;OK;Mat‚rialiser le projet et cr‚er une communaut‚.;G‚n‚rer beaucoup de revenus;Faire la fˆte;Trouver des id‚es innovantes;;;;;;;;;;;;;;;;;;
COMMUNICATION;6;La communication pour un entrepreneur;Pour un entrepreneur la communication est un pilier de la croissance car elle permet de gagner des clients mais ‚galement de recevoir des commentaires pr‚cieux pour am‚liorer le produit.;Lorsque vous prenez la parole, on voit que votre startup est inspirante mais ‚galement connect‚e au besoin des clients, vos efforts de communication vous rendent rudement comp‚titifs vis-…-vis de la concurrence !;La communication est autant un outil de diffusion de message qu'un moyen de ?;Moyen;Quizz;1;OK;R‚colter des retours de clients;Vendre les recettes de sa grand-mŠre;G‚n‚rer de nouveaux revenus;Trouver des financements;;;;;;;;;;;;;;;;;;
COMMUNICATION;6;La communication pour un entrepreneur;Pour un entrepreneur la communication est un pilier de la croissance car elle permet de gagner des clients mais ‚galement de recevoir des commentaires pr‚cieux pour am‚liorer le produit.;Lorsque vous prenez la parole, on voit que votre startup est inspirante mais ‚galement connect‚e au besoin des clients, vos efforts de communication vous rendent rudement comp‚titifs vis-…-vis de la concurrence !;Le CEO g‚nŠre de la confiance autour du projet grƒce … ?;Moyen;Quizz;1;OK;son enthousiasme et sa capacit‚ … communiquer;sa rigueur et son expertiseÿ;son r‚seau de partenaires;tout ce qui est au dessus mais surtout sa capacit‚ … communiquer;;;;;;;;;;;;;;;;;;
COMMUNICATION;6;La communication pour un entrepreneur;Pour un entrepreneur la communication est un pilier de la croissance car elle permet de gagner des clients mais ‚galement de recevoir des commentaires pr‚cieux pour am‚liorer le produit.;Lorsque vous prenez la parole, on voit que votre startup est inspirante mais ‚galement connect‚e au besoin des clients, vos efforts de communication vous rendent rudement comp‚titifs vis-…-vis de la concurrence !;perseverance.jpg;Facile;1 image 4 mots;4;OK;D‚termination;Sol;Fissure;Pers‚v‚rance;;;;;;;;;;;;;;;;;;
COMMUNICATION;6;La communication pour un entrepreneur;Pour un entrepreneur la communication est un pilier de la croissance car elle permet de gagner des clients mais ‚galement de recevoir des commentaires pr‚cieux pour am‚liorer le produit.;Lorsque vous prenez la parole, on voit que votre startup est inspirante mais ‚galement connect‚e au besoin des clients, vos efforts de communication vous rendent rudement comp‚titifs vis-…-vis de la concurrence !;leader.jpg;Facile;1 image 4 mots;3;OK;Diriger;Exploiter;Leader;Ami;;;;;;;;;;;;;;;;;;
COMMUNICATION;6;La communication pour un entrepreneur;Pour un entrepreneur la communication est un pilier de la croissance car elle permet de gagner des clients mais ‚galement de recevoir des commentaires pr‚cieux pour am‚liorer le produit.;Lorsque vous prenez la parole, on voit que votre startup est inspirante mais ‚galement connect‚e au besoin des clients, vos efforts de communication vous rendent rudement comp‚titifs vis-…-vis de la concurrence !;pitch.jpg;Moyen;1 image 4 mots;3;OK;Panel;Confrontation;Pitch;R‚union;;;;;;;;;;;;;;;;;;
COMMUNICATION;6;La communication pour un entrepreneur;Pour un entrepreneur la communication est un pilier de la croissance car elle permet de gagner des clients mais ‚galement de recevoir des commentaires pr‚cieux pour am‚liorer le produit.;Lorsque vous prenez la parole, on voit que votre startup est inspirante mais ‚galement connect‚e au besoin des clients, vos efforts de communication vous rendent rudement comp‚titifs vis-…-vis de la concurrence !;Pitch 1mn;Difficile;Nuage de mots;1,2,3,4,5;OK;One liner;ProblŠme;Solution;Besoins;Prochaines ‚tapes;Lieu;Gestion du stress;Tenue;;;;;;;;;;;;;;

