MODULE;NIVEAU;;;;QUESTIONS;;;REPONSES;;;;;;;;;;;;;;;;;;;;;;;
Nom du module; A quel niveau appartient cette question ?;Nom du niveau;Message d'entrée;Message de sortie;Question;Niveau de difficulté;Type de jeu;Bonne réponse;Check réponse;Reponse 1;Reponse 2;Reponse 3;Reponse 4;Reponse 5;Reponse 6;Reponse 7;Reponse 8;;;;;;;;;;;;;;
Structuration;3;Impôts;Créer une structure ne suffit pas pour être formalisé. Aux yeux de l'Etat, il faut également payer ses impôts !;Vous l'avez compris, les impôts permettent d'éviter le risque d'infraction qui peut être fatal ! D'autant que des outils comme le Sen Startup Act vous exonèrent au début !;Qu'est ce que la BRS ?;Moyen ;Nuage de mots;1,4;OK;Impôt sur le Revenu;Bordereau de Retenue à la Source ;Taxe sur le bénéfice;Retenue prélevée quand on ne facture pas la TVA;;;;;;;;;;;;;;;;;;
Structuration;3;Impôts;Créer une structure ne suffit pas pour être formalisé. Aux yeux de l'Etat, il faut également payer ses impôts !;Vous l'avez compris, les impôts permettent d'éviter le risque d'infraction qui peut être fatal ! D'autant que des outils comme le Sen Startup Act vous exonèrent au début !;Quelles taxes doivent systématiquement être payées au Sénégal par une SARL pour le compte de ses employés ?;Facile;Nuage de mots;3,4,6;OK;BRS;Impôt sur les sociétés (IS);IR;TRIMF;TVA;CFCE;;;;;;;;;;;;;;;;
Structuration;3;Impôts;Créer une structure ne suffit pas pour être formalisé. Aux yeux de l'Etat, il faut également payer ses impôts !;Vous l'avez compris, les impôts permettent d'éviter le risque d'infraction qui peut être fatal ! D'autant que des outils comme le Sen Startup Act vous exonèrent au début !;Pour qui verser la BRS ?;Moyen ;Nuage de mots;5,6;OK;Ses employés;Ses fournissuers;Ses banques;Les consultants internes;Les prestataire de service;Les consultants externes;;;;;;;;;;;;;;;;
Structuration;3;Impôts;Créer une structure ne suffit pas pour être formalisé. Aux yeux de l'Etat, il faut également payer ses impôts !;Vous l'avez compris, les impôts permettent d'éviter le risque d'infraction qui peut être fatal ! D'autant que des outils comme le Sen Startup Act vous exonèrent au début !;Quel est le taux de la BRS ?;Moyen ;Quizz;5;OK;7;15;2;5;;;;;;;;;;;;;;;;;;
Structuration;3;Impôts;Créer une structure ne suffit pas pour être formalisé. Aux yeux de l'Etat, il faut également payer ses impôts !;Vous l'avez compris, les impôts permettent d'éviter le risque d'infraction qui peut être fatal ! D'autant que des outils comme le Sen Startup Act vous exonèrent au début !;Qu'est ce que la CGU ?;Facile;Quizz;3;OK;Caisse Guichet Unique ;Contribution Générale Unique;Contribution Globale Unique;Contribution au Guichet Unique;;;;;;;;;;;;;;;;;;
Structuration;3;Impôts;Créer une structure ne suffit pas pour être formalisé. Aux yeux de l'Etat, il faut également payer ses impôts !;Vous l'avez compris, les impôts permettent d'éviter le risque d'infraction qui peut être fatal ! D'autant que des outils comme le Sen Startup Act vous exonèrent au début !;Combien de salariés faut il au minimum pour contribuer à la C.S.S ?;Moyen ;Quizz;2;OK;5;10;15;20;;;;;;;;;;;;;;;;;;
Structuration;3;Impôts;Créer une structure ne suffit pas pour être formalisé. Aux yeux de l'Etat, il faut également payer ses impôts !;Vous l'avez compris, les impôts permettent d'éviter le risque d'infraction qui peut être fatal ! D'autant que des outils comme le Sen Startup Act vous exonèrent au début !;Quel est le risque financier si vous ne payez pas vos impôts ?;Moyen;Quizz;4;#N/A;Redressement judiciaire;Ressources humaines;Accès limité au marché;Toutes les réponses;;;;;;;;;;;;;;;;;;
Structuration;4;Elargissement de l'équipe;Vous avez besoin d'élargir votre équipe ? Avez-vous pensé à la dimension contractuelle de cet élargissement ? ;Vos employés sont gérés d'une main de maître et ils vous en remercie. Vous avez su former une équipe soudée autour de votre projet.;Quelles sont les types d'associés ?;Moyen ;Nuage de mots;1,2,3;OK;Investisseur;Co-développeur;Collaborateur/Employé;Prestataires de service;Banque;;;;;;;;;;;;;;;;;
Structuration;4;Elargissement de l'équipe;Vous avez besoin d'élargir votre équipe ? Avez-vous pensé à la dimension contractuelle de cet élargissement ? ;Vos employés sont gérés d'une main de maître et ils vous en remercie. Vous avez su former une équipe soudée autour de votre projet.;Qu'est ce que vous devez partager fondamentalement avec vos associés ?;Moyen ;Nuage de mots;1,4,5;OK;La vision;Le nombre d'employés;Les prestataires;Le rapport à l'argent;Les rôles;Le niveau d'études;La localité;;;;;;;;;;;;;;;
Structuration;4;Elargissement de l'équipe;Vous avez besoin d'élargir votre équipe ? Avez-vous pensé à la dimension contractuelle de cet élargissement ? ;Vos employés sont gérés d'une main de maître et ils vous en remercie. Vous avez su former une équipe soudée autour de votre projet.;Contrat;Difficile;Nuage de mots;2,4,5;OK;Intérim;CDI;Consultance;CDD;Contrat de prestation de services;Bénévolat;Stage;Master;;;;;;;;;;;;;;
Structuration;4;Elargissement de l'équipe;Vous avez besoin d'élargir votre équipe ? Avez-vous pensé à la dimension contractuelle de cet élargissement ? ;Vos employés sont gérés d'une main de maître et ils vous en remercie. Vous avez su former une équipe soudée autour de votre projet.;Qu'est ce qui est le plus important pour une entreprise vis à vis des prospects ?;Moyen ;Quizz;2;OK;Le CA;La réputation;Le nombre d'employé;Les produits/services;;;;;;;;;;;;;;;;;;
Structuration;4;Elargissement de l'équipe;Vous avez besoin d'élargir votre équipe ? Avez-vous pensé à la dimension contractuelle de cet élargissement ? ;Vos employés sont gérés d'une main de maître et ils vous en remercie. Vous avez su former une équipe soudée autour de votre projet.;Combien de salariés faut il au minimum pour contribuer à l'IPRES ?;Facile;Quizz;4;OK;5;10;15;20;;;;;;;;;;;;;;;;;;
Structuration;4;Elargissement de l'équipe;Vous avez besoin d'élargir votre équipe ? Avez-vous pensé à la dimension contractuelle de cet élargissement ? ;Vos employés sont gérés d'une main de maître et ils vous en remercie. Vous avez su former une équipe soudée autour de votre projet.;Combien de salariés faut il au minimum pour contribuer à la C.S.S ?;Moyen ;Quizz;2;OK;5;10;15;20;;;;;;;;;;;;;;;;;;

