MODULE;NIVEAU;;;;QUESTIONS;;;REPONSES;;;;;;;;;;;;;;;;;;;;;;;
Nom du module; A quel niveau appartient cette question ?;Nom du niveau;Message d'entrée;Message de sortie;Question;Niveau de difficulté;Type de jeu;Bonne réponse;Check réponse;Reponse 1;Reponse 2;Reponse 3;Reponse 4;Reponse 5;Reponse 6;Reponse 7;Reponse 8;;;;;;;;;;;;;;
Lean Canvas;2;Bien collecter, très bien traiter !;La collecte des infos et leur traitement sont des étapes indispensables à la réalisation d'un persona. En connaissez-vous les différentes phases ?;En classifiant les types de données relatives à vos clients, vous avez pu réduire et repréciser votre champ d'application ce qui a favorablement impacté sur les commandes. Well done !;Types d'information;Moyen;Nuage de mots;1,2,3,6;OK;objectifs;problématiques;canal de recherche;hobby;antécédents juridiques;comportements;;;;;;;;;;;;;;;;
Lean Canvas;2;Bien collecter, très bien traiter !;La collecte des infos et leur traitement sont des étapes indispensables à la réalisation d'un persona. En connaissez-vous les différentes phases ?;En classifiant les types de données relatives à vos clients, vous avez pu réduire et repréciser votre champ d'application ce qui a favorablement impacté sur les commandes. Well done !;Quel est l'ordre des 3 étapes indispensables à la création d'un persona ?;Facile;Quizz;2,3,4;OK;Collecte, traitement, modélisation;Traitement, modélisation collecte;Modélisation, collecte, traitement;Collecte, modélisation, traitement;;;;;;;;;;;;;;;;;;
Lean Canvas;2;Bien collecter, très bien traiter !;La collecte des infos et leur traitement sont des étapes indispensables à la réalisation d'un persona. En connaissez-vous les différentes phases ?;En classifiant les types de données relatives à vos clients, vous avez pu réduire et repréciser votre champ d'application ce qui a favorablement impacté sur les commandes. Well done !;Pour une bonne récolte d'informations qualitatives, il vaut mieux préférer la ... que la ;Moyen;Nuage de mots;1,2;OK;diversité;similitude;cohérence;timidité;;;;;;;;;;;;;;;;;;
Lean Canvas;2;Bien collecter, très bien traiter !;La collecte des infos et leur traitement sont des étapes indispensables à la réalisation d'un persona. En connaissez-vous les différentes phases ?;En classifiant les types de données relatives à vos clients, vous avez pu réduire et repréciser votre champ d'application ce qui a favorablement impacté sur les commandes. Well done !;Après modélisation, le persona est-il figé afin de se concentrer sur cette cible?;Facile;Quizz;1;OK;Vrai ;Faux ;;;;;;;;;;;;;;;;;;;;
Lean Canvas;2;Bien collecter, très bien traiter !;La collecte des infos et leur traitement sont des étapes indispensables à la réalisation d'un persona. En connaissez-vous les différentes phases ?;En classifiant les types de données relatives à vos clients, vous avez pu réduire et repréciser votre champ d'application ce qui a favorablement impacté sur les commandes. Well done !;Le persona est basé sur des données réelles sur vos clients existants.;Facile;Phrase à trous;1;OK;des données réelles;des hypothèses ;;4;;;;;;;;;;;;;;;;;;
Lean Canvas;2;Bien collecter, très bien traiter !;La collecte des infos et leur traitement sont des étapes indispensables à la réalisation d'un persona. En connaissez-vous les différentes phases ?;En classifiant les types de données relatives à vos clients, vous avez pu réduire et repréciser votre champ d'application ce qui a favorablement impacté sur les commandes. Well done !;La clé du persona est de comprendre les habitudes et comportements de chaque groupe de clients;Moyen;Quizz;1;OK;Vrai ;Faux;;;;;;;;;;;;;;;;;;;;
Lean Canvas;2;Bien collecter, très bien traiter !;La collecte des infos et leur traitement sont des étapes indispensables à la réalisation d'un persona. En connaissez-vous les différentes phases ?;En classifiant les types de données relatives à vos clients, vous avez pu réduire et repréciser votre champ d'application ce qui a favorablement impacté sur les commandes. Well done !;Créer des campagnes Inbound avec les persona permettra...;Difficile;Phrase à trous;1;OK;d'optimiser les efforts et d'améliorer le ROI;d'éliminer les persona négatif;de dématérialiser les offres;de créer plus de contenu;;;;;;;;;;;;;;;;;;
Lean Canvas;3;Bien collecter, très bien traiter !;Dans l'outils Value Proposition Canvas (VPC), on identifie d'abord les motivations qui poussent votre client à acheter votre produit. Quelles tâches il réalise, les douleurs et avantages associés. En gros, pourquoi le client a besoin de votre produit.;En connaissant les motivations et les tâches de votre client vous avez augmenté vos chances de lui proposer un produit sur-mesure !;De combien de parties est constituée le segment client dans une value proposition ? ;Facile;Quizz;3;OK;1;2;3;4;;;;;;;;;;;;;;;;;;
Lean Canvas;3;Segment client;Dans l'outils Value Proposition Canvas (VPC), on identifie d'abord les motivations qui poussent votre client à acheter votre produit. Quelles tâches il réalise, les douleurs et avantages associés. En gros, pourquoi le client a besoin de votre produit.;En connaissant les motivations et les tâches de votre client vous avez augmenté vos chances de lui proposer un produit sur-mesure !;"A quoi correspond le ""Job"" du client ?";Moyen;Quizz;3;OK;Ce que le client doit faire pour acheter mon produit;L'effort que je dois faire pour acquérir ce client;Les tâches fonctionnelles, émotionnelles et sociales que le client réalise;La formation du client;;;;;;;;;;;;;;;;;;
Lean Canvas;3;Segment client;Dans l'outils Value Proposition Canvas (VPC), on identifie d'abord les motivations qui poussent votre client à acheter votre produit. Quelles tâches il réalise, les douleurs et avantages associés. En gros, pourquoi le client a besoin de votre produit.;En connaissant les motivations et les tâches de votre client vous avez augmenté vos chances de lui proposer un produit sur-mesure !;"A quoi correspondent les ""Pains"" du client ?";Moyen;Quizz;2;OK;sa douleur physique en exécutant son job ;Représente les blocages et problèmes que le client pourrait rencontrer en essayant de faire les job;les difficultés de l'entrepreneur à créer ce produit;En connaissant les motivations et les tâches de votre client vous avez augmenté vos chances de lui proposer un produit sur-mesure !;"A quoi correspondent les ""Gains"" du client ?";Facile;Quizz;2;OK;Ce qui pousse le client à réaliser ses tâches;Le résultat Positif des tâches;;;;;;;;;;;;;;;;;;;;
Lean Canvas;3;Segment client;Dans l'outils Value Proposition Canvas (VPC), on identifie d'abord les motivations qui poussent votre client à acheter votre produit. Quelles tâches il réalise, les douleurs et avantages associés. En gros, pourquoi le client a besoin de votre produit.;En connaissant les motivations et les tâches de votre client vous avez augmenté vos chances de lui proposer un produit sur-mesure !;La value proposition canvas est directement lié au ...;Moyen;Phrase à trous;1;OK;Persona;Marketing;fond de roulement;Pouvoir d'achat;;;;;;;;;;;;;;;;;;
Lean Canvas;3;Segment client;Dans l'outils Value Proposition Canvas (VPC), on identifie d'abord les motivations qui poussent votre client à acheter votre produit. Quelles tâches il réalise, les douleurs et avantages associés. En gros, pourquoi le client a besoin de votre produit.;En connaissant les motivations et les tâches de votre client vous avez augmenté vos chances de lui proposer un produit sur-mesure !;Par quelle partie commence t-on dans un VPC ?;Facile;Quizz;1;OK;Segment client ;Value map;;;;;;;;;;;;;;;;;;;;
Lean Canvas;3;Segment client;Dans l'outils Value Proposition Canvas (VPC), on identifie d'abord les motivations qui poussent votre client à acheter votre produit. Quelles tâches il réalise, les douleurs et avantages associés. En gros, pourquoi le client a besoin de votre produit.;Vous avez maintenant un produit adapté au besoin de votre client. Bien joué !;Quel est la définition d'une value map dans un VPC ?;Moyen;Quizz;2;OK;Les caractéristiques de ma solution;La solution, ses avantages et ses inconvénients;Vos valeurs d'entrepreneur;Le plan de vos locaux;;;;;;;;;;;;;;;;;;
Lean Canvas;4;Segment client;La value map décrit les produits et services de votre entreprise en se fondant sur le besoin de vos clients.;Vous avez maintenant un produit adapté au besoin de votre client. Bien joué !;De combien de parties est constituée le value map  dans une VPC? ;Facile;Quizz;3;OK;1;2;3;4;;;;;;;;;;;;;;;;;;
Lean Canvas;4;Value map;La value map décrit les produits et services de votre entreprise en se fondant sur le besoin de vos clients.;Vous avez maintenant un produit adapté au besoin de votre client. Bien joué !;"Que représente  la partie ""produit et service""  ? ";Moyen;Quizz;3;OK;Les outils utilisés par le client ;Les meilleurs fonctionnalités;Les solutions pour répondre au besoin du client ;Des idées de solutions existantes;;;;;;;;;;;;;;;;;;
Lean Canvas;4;Value map;La value map décrit les produits et services de votre entreprise en se fondant sur le besoin de vos clients.;Vous avez maintenant un produit adapté au besoin de votre client. Bien joué !;"Que représente la partie  ""pain relievers""  ? ";Moyen;Quizz;2;OK;Les outils utilisés par le client ;"Les fonctionnalités qui limitent les ""Pains"" du client";Les fonctionnalités moins innovantes;"Les fonctionnalités qui limitent les ""Gains"" du client";;;;;;;;;;;;;;;;;;
Lean Canvas;4;Value map;La value map décrit les produits et services de votre entreprise en se fondant sur le besoin de vos clients.;Vous avez maintenant un produit adapté au besoin de votre client. Bien joué !;Dans quel autre outil du lean canvas se trouve les différentes solutions qu'offre votre produit ou service;Facile;Quizz;1;OK;Business Model Canvas;Empathy Map;Value Proposition Canvas;Persona;;;;;;;;;;;;;;;;;;
Lean Canvas;4;Value map;La value map décrit les produits et services de votre entreprise en se fondant sur le besoin de vos clients.;Vous avez maintenant un produit adapté au besoin de votre client. Bien joué !;A quel niveau de la value map se trouve la liste difficultés  que vous enlevez à votre client des;Facile;Quizz;1;OK;Pain Relievers;Produit et service ;Gain Creators;Toutes les réponses;;;;;;;;;;;;;;;;;;
Lean Canvas;4;Value map;La value map décrit les produits et services de votre entreprise en se fondant sur le besoin de vos clients.;Vous avez maintenant un produit adapté au besoin de votre client. Bien joué !;A quel niveau de la value map se trouve la liste des solutions que vous proposez.;Facile;Quizz;1;OK;Produit et service;Gain creators;Pain relievers;Persona;;;;;;;;;;;;;;;;;;
Lean Canvas;4;Value map;La value map décrit les produits et services de votre entreprise en se fondant sur le besoin de vos clients.;Vous avez maintenant un produit adapté au besoin de votre client. Bien joué !;"Que représente la partie  ""gain creators ""  ? ";Facile;Quizz;4;OK;Les outils améliorés par le client ;C'est les avantages financiers qu'offre votre produit;Les avantages que vous proposez à vos clients ;"Les fonctionnalités qui augmentent les ""Gains""";;;;;;;;;;;;;;;;;;
Lean Canvas;4;Value map;La value map décrit les produits et services de votre entreprise en se fondant sur le besoin de vos clients.;Félicitation ! Vous pouvez dès à présent commencer à élaborer votre BMC et modéliser votre activité !;Combien de colonnes il y a-t-il dans le Business Model Canvas (BMC) ?;Difficile;Quizz;2;OK;7;9;11;5;;;;;;;;;;;;;;;;;;
Lean Canvas;5;Value map;Parmis tous les outils du lean canvas, le Business model canvas est un incontournable. A quel point êtes-vous familier avec cet outils ?;Félicitation ! Vous pouvez dès à présent commencer à élaborer votre BMC et modéliser votre activité !;Qu'est-ce qui décrit le mieux un Business Model Canvas?;Facile;Quizz;1;OK;Plan d'une page décrivant votre nouvelle idée d'entreprise;Une œuvre d'art;Un modèle de votre bureau;Un patron pour tailler une chemise;;;;;;;;;;;;;;;;;;
Lean Canvas;5;Business model canvas;Parmis tous les outils du lean canvas, le Business model canvas est un incontournable. A quel point êtes-vous familier avec cet outils ?;Félicitation ! Vous pouvez dès à présent commencer à élaborer votre BMC et modéliser votre activité !;Qu'est-ce que des indicateurs clés?;Facile;Quizz;3;OK;Un ruban à mesurer;Des chiffres importants;Les objectifs qui déterminent le succès de votre entreprise;;;;;;;;;;;;;;;;;;;
Lean Canvas;5;Business model canvas;Parmis tous les outils du lean canvas, le Business model canvas est un incontournable. A quel point êtes-vous familier avec cet outils ?;Félicitation ! Vous pouvez dès à présent commencer à élaborer votre BMC et modéliser votre activité !;Quels sont les «canaux» dans un Business Model Canvas ?;Moyen;Quizz;2;OK;Vos objectifs en tant qu'entreprise;Où vous vendez vos produits / services;Qui sont vos clients;Les coûts de votre entreprise;;;;;;;;;;;;;;;;;;
Lean Canvas;5;Business model canvas;Parmis tous les outils du lean canvas, le Business model canvas est un incontournable. A quel point êtes-vous familier avec cet outils ?;Félicitation ! Vous pouvez dès à présent commencer à élaborer votre BMC et modéliser votre activité !;Quel est un autre mot pour les coûts?;Moyen;Quizz;1;OK;Dépenses;Budget;Revenu;Dette;;;;;;;;;;;;;;;;;;
Lean Canvas;5;Business model canvas;Parmis tous les outils du lean canvas, le Business model canvas est un incontournable. A quel point êtes-vous familier avec cet outils ?;Félicitation ! Vous pouvez dès à présent commencer à élaborer votre BMC et modéliser votre activité !;Que signifie «proposition de valeur»?;Moyen;Quizz;3;OK;"Ce qui décrit votre produit";"Ce que vous proposez aux clients";"La valeur de votre produit / service perçue par vos client";;;;;;;;;;;;;;;;;;;
Lean Canvas;5;Business model canvas;Parmis tous les outils du lean canvas, le Business model canvas est un incontournable. A quel point êtes-vous familier avec cet outils ?;Félicitation ! Vous pouvez dès à présent commencer à élaborer votre BMC et modéliser votre activité !;"Définissez la notion de ""revenus""";Moyen;Quizz;3;OK;Les bénéfices ;Ce que vous dépensez;L'argent qui rentre ;La moyenne de vos recettes;;;;;;;;;;;;;;;;;;
Lean Canvas;5;Business model canvas;Parmis tous les outils du lean canvas, le Business model canvas est un incontournable. A quel point êtes-vous familier avec cet outils ?;Félicitation ! Vous pouvez dès à présent commencer à élaborer votre BMC et modéliser votre activité !;Les affiches, les réseaux sociaux, les publicités sont tous des exemples de:;Difficile;Quizz;1;OK;Relations clients;Flux de revenus;Indicateurs clés;Proposition de valeur;;;;;;;;;;;;;;;;;;
Lean Canvas;5;Business model canvas;Parmis tous les outils du lean canvas, le Business model canvas est un incontournable. A quel point êtes-vous familier avec cet outils ?;Félicitation ! Vous pouvez dès à présent commencer à élaborer votre BMC et modéliser votre activité !;L'argent utilisé sur les matériaux pour fabriquer vos produits est appelé:;Facile;Quizz;2;#REF!;Bénéfice;Dépenses;Budget;Fourniture;;;;;;;;;;;;;;;;;;
Lean Canvas;5;Business model canvas;Parmis tous les outils du lean canvas, le Business model canvas est un incontournable. A quel point êtes-vous familier avec cet outils ?;Félicitation ! Vous pouvez dès à présent commencer à élaborer votre BMC et modéliser votre activité !;Votre site web se trouve dans quelle section du Business Model Canvas?;Moyen;Quizz;3;OK;revenus;relation client;Canaux de distribution;segment de clientèles;;;;;;;;;;;;;;;;;;
Lean Canvas;5;Business model canvas;Parmis tous les outils du lean canvas, le Business model canvas est un incontournable. A quel point êtes-vous familier avec cet outils ?;Félicitation ! Vous pouvez dès à présent commencer à élaborer votre BMC et modéliser votre activité !;"""Le produit sera vendu pour 10 $"" va dans quelle section du BMC?";Moyen;Quizz;2;OK;Indicateurs clés;Flux de revenus;"Structure des coûts";Proposition de valeur;;;;;;;;;;;;;;;;;;
Lean Canvas;5;Business model canvas;Parmis tous les outils du lean canvas, le Business model canvas est un incontournable. A quel point êtes-vous familier avec cet outils ?;Félicitation ! Vous pouvez dès à présent commencer à élaborer votre BMC et modéliser votre activité !;"Ce produit est compact et tout-en-un facile à utiliser; ceci est un exemple de quelle section du BMC?";Moyen;Quizz;3;KO;Segment clientèle;Chaînes de distribution;Proposition de Valeur;Activité clé;;;;;;;;;;;;;;;;;;


